lead_id,lead_name,tier,sector,notes,municipality,province,phone,distance_km,plant_name,paco_why,manolo_autoridad,viable,motivo_rechazo
bodega_señorio_de_ba_7982f7fe,Bodega Señorio de Barahonda,A,otro,Winery,Yecla,Murcia,968 71 86 96,3.995,CS Yecla II,La bodega cumple con los requisitos de un alto consumo energético y se encuentra a menos de 5 km de una planta solar. Su actividad en la producción de vino también sugiere un consumo diurno considerable.,,,
bodegas_castaño_7c3781a8,BODEGAS CASTAÑO,A,otro,Winery,Yecla,Murcia,968 79 11 15,1.511,CS Yecla II,"Es una bodega, lo que sugiere un consumo alto y relevante para el encaje solar. Además, se encuentra a menos de 5 km de la planta solar.",,,
centro_logístico_lyr_804891c0,Centro Logístico Lyreco España,A,otro,Storage,Alovera,Guadalajara,902 10 00 16,4.902,CS Azuqueca de Henares I,Se clasifica como TIER A por su actividad de almacenamiento y alto consumo probable. Está ubicado dentro del radio de la planta solar Soldelia.,,,
hotel_azar_4e71f22a,Hotel Azar,A,otro,Hotel,Plasencia,Cáceres,927 42 18 33,2.922,CS Plasencia II,El hotel está ubicado a menos de 5 km de una planta solar de Soldelia y puede tener un alto consumo si es un hotel con más de 30 habitaciones.,,,
abrasador_el_caprich_439ab362,Abrasador El Capricho De Los Torres,B,otro,Restaurant,Villacañas,Toledo,614 20 65 25,4.705,CS Villacañas I,"Se trata de un restaurante, lo que sugiere un consumo importante, aunque se necesita más información sobre la tarifa y el consumo anual. Está dentro de la distancia de la planta solar.","Hay restaurantes en Villacañas que ya están pagando solo 0,09 euros/kWh gracias a la planta solar cercana. No te quedes atrás, envíame tu factura eléctrica y te",,
adame_productos_cong_9b3a072e,Adame Productos Congelados,B,otro,Suppliers,Bollullos Par del Condado,Huelva,959 58 00 22,3.968,CS Palma del Condado I,Falta información sobre el consumo anual y la tarifa eléctrica. Se encuentra en zona cercana a la planta solar.,"Hay empresas en tu zona que ya pagan 0,09 euros/kWh por su energía. Adame Productos Congelados también podría beneficiarse.",,
alovera_80c5f6aa,Alovera,B,otro,General Contractor,Alovera,Guadalajara,,4.657,CS Azuqueca de Henares I,No se cuenta con información sobre el consumo anual o tarifa eléctrica para una calificación más alta. Proximidad a la planta solar es positiva.,"Otras empresas en tu zona ya están disfrutando de tarifas eléctricas a 0,09 euros/kWh. Esta planta solar a menos de 5km está funcionando para negocios como el t",,
bar_goya_67e8ae3b,Bar Goya,B,otro,Restaurant,Carmona,Sevilla,954 14 30 60,0.341,CS Carmona I,"El lead es un restaurante, lo cual puede representar un consumo significativo, pero faltan datos para confirmar el consumo anual. Está dentro del radio de la planta solar.","Otros restaurantes en Carmona ya están utilizando energía solar a 0,09 euros/kWh. Estás en una buena zona para aprovechar esta opción.",,
bar_restaurante_asad_b9d41c13,Bar restaurante Asador Casa Julio,B,otro,Bar & Grill,Dos Hermanas,Sevilla,660 14 26 46,0.564,CS Dos Hermanas,"Es un bar que probablemente tenga un consumo considerable, pero no se dispone de datos específicos sobre su consumo anual de energía.","Hay bares en Dos Hermanas que ya están pagando 0,09 euros/kWh por su energía. ¿Te gustaría saber cómo lo están haciendo?",,
bar-restaurante_la_b_4cefa0c8,Bar-Restaurante La Barraca,B,otro,Restaurant,Barcience,Toledo,925 77 05 57,4.097,CS Torrijos II,"No se dispone de datos sobre el consumo anual, pero al ser un restaurante probablemente consume más de 30.000 kWh/año. Ubicación válida cercana a la planta solar.","Otros restaurantes en la zona están pagando solo 0,09 euros/kWh gracias a una planta solar cercana. Si me envías tu factura, podemos ver juntos cuánto podrías a",,
barrabar's_porvenir_2702e6de,Barrabar's Porvenir,B,otro,Restaurant,33,Sevilla,854 62 12 57,1.776,CS Sevilla II,"Es un restaurante, lo que sugiere una actividad con consumo diurno. Sin datos de consumo anual, se clasifica en TIER B con confianza media.","Ya hay restaurantes cerca que están pagando 0,09 euros/kWh por su energía. No tienes que hacer ningún cambio complicado. Con tu factura en la mano te hago el es",,
bimbo_c46c5f0f,BIMBO,B,otro,Bakery,Azuqueca de Henares,Guadalajara,949 26 30 01,2.602,CS Azuqueca de Henares I,"Falta información sobre el consumo anual y tipo de tarifa eléctrica. Sin embargo, la actividad y ubicación se ajustan.","Otras empresas en tu área ya se benefician de pagar solo 0,09 euros/kWh. A menos de 3km, hay una planta solar que les está ayudando a reducir sus gastos.",,
bodega_roldan_-_rest_0f99f019,Bodega Roldan - Restaurante en Bollullos Par del Condado,B,otro,Seafood Restaurant,Bollullos Par del Condado,Huelva,959 41 13 49,4.831,CS Palma del Condado I,"Es un restaurante, lo que sugiere un consumo potencial, pero falta información clave sobre el consumo anual y la tarifa actual.","Hay restaurantes cercanos que ya están pagando solo 0,09 euros/kWh por su energía. No estás solo en esto, y hay opciones a menos de 5km.",,
bodegón_emilio_resta_d19a5f5c,Bodegón Emilio Restaurante,B,otro,Restaurant,Bollullos Par del Condado,Huelva,959 40 83 60,4.095,CS Palma del Condado I,"Se trata de un restaurante que puede operar con consumo diurno, pero no hay información sobre su consumo anual específico.","Ya hay restaurantes en tu zona que están pagando solo 0,09 euros/kWh gracias a la energía solar. Están a menos de 5km de ti. Si me pasas tu factura eléctrica, p",,
