lead_id,lead_name,tier,sector,municipality,phone,distance_km,paco_why,manolo_autoridad,viable,motivo_rechazo
agropecuarios_ponien_9385189f,AGROPECUARIOS PONIENTESUR,B,otro,Villanueva Mesía,958 44 43 98,3.469,"El lead parece ser una empresa y está dentro del radio requerido de la planta solar, aunque no hay información sobre su consumo. Se considera TIER B por la falta de datos claros sobre el uso energético.","Otras empresas en Villanueva Mesía ya están aprovechando la energía solar a 0,09 euros/kWh. AGROPECUARIOS PONIENTESUR puede beneficiarse de esto también, con la",,
autoelectricidad_man_e1cc6d4f,Autoelectricidad Manuel Jáimez,B,taller,Huétor Tájar,669 19 99 68,2.027,"Es un taller que podría tener un consumo significativo, pero no se dispone de datos sobre su tarifa eléctrica o consumo anual.","Hay talleres en Huétor Tájar que ya pagan 0,09 euros/kWh. La planta solar a menos de 2km puede ser una opción beneficiosa. Con tu factura en la mano te hago el ",,
automecánica_jesús_2c393607,Automecánica Jesús,B,taller,Huétor Tájar,958 33 36 95,1.656,"El taller de mecánica podría tener un consumo anual cercano a los 30,000 kWh, pero faltan datos específicos sobre el consumo total. Está dentro del radio de la planta solar.","Hay talleres cerca de ti que ya pagan 0,09 euros/kWh. La planta está a menos de 2km de Huétor Tájar. Con tu factura en la mano te haré un estudio. ¿Me la mandas",,
bar_el_quini_9c04481f,Bar El Quini,B,hostelería,Huétor Tájar,,1.912,"El lead es un bar, que generalmente tiene consumo diurno, pero no se dispone de datos específicos sobre su consumo anual. Está ubicado a 1.9 km de una planta solar.","Ya hay bares en Huétor Tájar que están pagando 0,09 euros/kWh. Puedes sumar tu bar a esta tendencia. Mándame tu última factura y te hago el estudio sin compromi",,
buyallo_taberna._ff5c91ce,BUYALLO TABERNA.,B,hostelería,Huétor Tájar,615 07 79 38,2.555,"El sector de la hostelería indica actividad diurna, pero se requiere más información sobre el consumo anual para una clasificación más precisa.","Otras tabernas cercanas ya están aprovechando la energía solar y pagando solo 0,09 euros/kWh. No te quedes atrás, con tu factura en la mano puedo ofrecerte un a",,
café-bar_camilo_cf0bac93,Café-Bar Camilo,B,hostelería,Villanueva Mesía,958 44 43 52,2.194,"El lead está en el sector de hostelería, pero se necesita más información sobre el consumo anual. Está dentro del radio adecuado de la planta solar.","Existen otros bares y restaurantes en Villanueva Mesía que ya están pagando solo 0,09 euros/kWh. Es una opción viable que deberías considerar.",,
don_bocata_07f00a13,Don Bocata,B,hostelería,Huétor Tájar,958 33 39 20,1.744,"Aunque es un restaurante, falta información clave sobre su consumo anual. Está ubicado a 1.7 km de la planta solar, lo que mejora su encaje.","Hay restaurantes cerca de ti que ya están pagando 0,09 euros/kWh. Si me mandas tu última factura, te enseño cómo hacerlo.",,
entrevinos_restauran_d6bc614a,Entrevinos Restaurante/Brasería.,B,hostelería,Huétor Tájar,858 81 23 39,2.770,"Es un restaurante, lo que sugiere un consumo diurno, pero falta información sobre el consumo anual y la tarifa eléctrica.","Hay restaurantes cerca de ti que ya están pagando solo 0,09 euros/kWh. Es una opción que vale la pena considerar.",,
fjc_automoción_78bf086e,FJC Automoción,B,taller,Huétor Tájar,697 26 72 89,0.119,"Se trata de un taller que probablemente consume más de 30.000 kWh/año, pero no hay datos concretos de su consumo. Está localizado dentro del radio requerido de una planta solar.","Hay talleres cerca de ti que ya pagan 0,09 euros/kWh gracias a la energía solar. A menos de un kilometro de tu empresa, ya están aprovechando esta oportunidad. ",,
glassdrive_huétor_tá_84f9385b,Glassdrive Huétor Tájar,B,taller,Huétor Tájar,900 535 314,2.128,"Se trata de un taller, lo que sugiere un consumo relevante, pero falta información sobre el consumo anual y la tarifa eléctrica. Está ubicado dentro del radio de 5 km de la planta solar.","Hay talleres cerca de ti que ya están pagando solo 0,09 euros/kWh por su energía. Tú también podrías beneficiarte de esta opción a menos de 2km de tu ubicación.",,
